FC Bayern München
VfL Wolfsburg
Borussia M'Gladbach
Bayer Leverkusen
FC Augsburg
FC Schalke 04
Borussia Dortmund
TSG 1899 Hoffenheim
Eintracht Frankfurt
Werder Bremen
1. FSV Mainz 05
1. FC Köln
Hannover 96
VfB Stuttgart
Hertha Berlin
Hamburger SV
SC Freiburg
SC Paderborn 07
